name_en,unique_ja_count,name_ja,occurrence_count,source_architect_id,source_line
"JV",40,"共同企業体",29,7839,3576
"JV",40,"共同企業体",29,7901,3606
"JV",40,"共同企業体",29,8169,3756
"JV",40,"共同企業体",29,8366,3863
"JV",40,"共同企業体",29,8529,3955
"JV",40,"共同企業体",29,8531,3957
"JV",40,"共同企業体",29,8617,4005
"JV",40,"共同企業体",29,8653,4021
"JV",40,"共同企業体",29,9125,4290
"JV",40,"共同企業体",29,9214,4343
"JV",40,"共同企業体",29,9349,4429
"JV",40,"共同企業体",29,9397,4459
"JV",40,"共同企業体",29,9613,4588
"JV",40,"共同企業体",29,9744,4664
"JV",40,"共同企業体",29,9904,4754
"JV",40,"共同企業体",29,10135,4868
"JV",40,"業務特別共同企業体",1,3914,1696
"JV",40,"設計監理共同企業体",4,4156,1803
"JV",40,"設計監理共同企業体",4,5163,2235
"JV",40,"設計監理共同企業体",4,6728,3020
"JV",40,"設計監理共同企業体",4,8585,3984
"JV",40,"特定共同企業体",1,4355,1880
"JV",40,"設計監理共同体",2,4361,1882
"JV",40,"設計監理共同体",2,6037,2681
"JV",40,"沖縄県立武道館設計共同企業体",1,4493,1927
"JV",40,"新本社ビル設計共同企業体",1,4542,1946
"JV",40,"山梨ITセンター設計共同企業体",1,4733,2021
"JV",40,"黒川・イプスタイン・アラップ共同企業体",1,4953,2133
"JV",40,"森林文化アカデミー（仮称）建築設計業務特別共同企業体",1,5190,2245
"JV",40,"特定設計業務共同企業体",2,5203,2254
"JV",40,"特定設計業務共同企業体",2,9868,4728
"JV",40,"大成・五洋・古久根建設工事共同企業体",1,5526,2413
"JV",40,"安井・雅禧・西島・熊平設計共同体",1,5563,2434
"JV",40,"企業体",3,5815,2564
"JV",40,"企業体",3,5816,2565
"JV",40,"企業体",3,9889,4743
"JV",40,"特定建設工事設計・施工連合体",1,5862,2588
"JV",40,"大崎・総合設備・トーホー設備・森川設計業務共同企業体",1,5979,2645
"JV",40,"設計業務特別共同企業体",1,6254,2786
"JV",40,"A・W・A設計共同体",1,6955,3129
"JV",40,"出雲市新庁舎設計共同体",1,7291,3297
"JV",40,"設計・工事監理共同企業体",1,7696,3509
"JV",40,"同志社大学今出川キャンパス整備設計共同企業体",1,7814,3567
"JV",40,"異業種特定建設共同企業体",2,7852,3586
"JV",40,"異業種特定建設共同企業体",2,8714,4055
"JV",40,"東京駅八重洲開発設計共同企業体",1,7879,3596
"JV",40,"設計監理共同事業体",1,7930,3627
"JV",40,"飯田橋駅西口地区市街地再開発事業施設建築物実施設計共同企業体",1,8116,3727
"JV",40,"大林・藤井・岡野・きんでん・東洋熱工業特定建設工事共同企業体",1,8349,3855
"JV",40,"竹中・長建・ワシヅ設計共同企業体",1,8527,3954
"JV",40,"東京駅丸の内広場整備設計共同企業体",1,8791,4100
"JV",40,"釜石市唐丹地区学校等建設工事設計業務特定設計共同体",1,8800,4104
"JV",40,"新庁舎免震改修工事等設計業務委託設計共同体",1,8812,4109
"JV",40,"共同提案体",1,8965,4193
"JV",40,"虎ノ門2-10計画設計共同体",1,8968,4196
"JV",40,"共同企業体（BANJAC）",1,9396,4458
"JV",40,"設計企業体",1,9589,4571
"JV",40,"特定建設工事設計・施工共同企業体",1,9614,4589
"JV",40,"特定建設関連業務委託共同体",1,10094,4851
"NIKKEN SEKKEI",44,"日建設計・東京",2,17,16
"NIKKEN SEKKEI",44,"日建設計・東京",2,2374,1072
"NIKKEN SEKKEI",44,"日建設計",89,152,120
"NIKKEN SEKKEI",44,"日建設計",89,3644,1567
"NIKKEN SEKKEI",44,"日建設計",89,3680,1580
"NIKKEN SEKKEI",44,"日建設計",89,3691,1584
"NIKKEN SEKKEI",44,"日建設計",89,3765,1616
"NIKKEN SEKKEI",44,"日建設計",89,4110,1790
"NIKKEN SEKKEI",44,"日建設計",89,4266,1844
"NIKKEN SEKKEI",44,"日建設計",89,4316,1865
"NIKKEN SEKKEI",44,"日建設計",89,4330,1871
"NIKKEN SEKKEI",44,"日建設計",89,4398,1891
"NIKKEN SEKKEI",44,"日建設計",89,4542,1946
"NIKKEN SEKKEI",44,"日建設計",89,4707,2015
"NIKKEN SEKKEI",44,"日建設計",89,4745,2027
"NIKKEN SEKKEI",44,"日建設計",89,4845,2074
"NIKKEN SEKKEI",44,"日建設計",89,4846,2075
"NIKKEN SEKKEI",44,"日建設計",89,5088,2195
"NIKKEN SEKKEI",44,"日建設計",89,5195,2248
